normalized_title,representative_title,canonical_title,canonical_slug,match_status,match_confidence,match_method,override_applied,match_source,match_source_url
creative sound blaster audigy serie v 2 12,Creative Sound Blaster Audigy Serie v 2 12,,,ambiguous,low,wikimedia,false,,
creature conflict,Creature Conflict,Creature Conflict: The Clan Wars,creature-conflict-the-clan-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Creature_Conflict%3A_The_Clan_Wars
crillion,Crillion,Q108577051,q108577051,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q108577051
cross racing championship,Cross Racing Championship,Cross Racing Championship 2005,cross-racing-championship-2005,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cross_Racing_Championship_2005
crysis mod sdk 1,Crysis Mod SDK 1,,,unmatched,low,wikimedia,false,,
crysis mod sdk10,Crysis Mod SDK10,,,unmatched,low,wikimedia,false,,
crysis mod sdk12,Crysis Mod SDK12,,,unmatched,low,wikimedia,false,,
crysis v 1,Crysis v 1,,,ambiguous,low,wikimedia,false,,
crysisv11,Crysisv11,,,unmatched,low,wikimedia,false,,
csi eindeutige beweise,CSI Eindeutige Beweise,,,unmatched,low,wikimedia,false,,
csicrime scene investigation mordin dimensionen,CSICrime Scene Investigation Mordin Dimensionen,,,unmatched,low,wikimedia,false,,
csieindeutige beweise,CSIEindeutige Beweise,,,unmatched,low,wikimedia,false,,
cycek nad new,CYCEK NAD NEW GAME,,,unmatched,low,wikimedia,false,,
daemonica,Daemonica,Daemonica,daemonica,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Daemonica
dame xxl,Dame XXL,,,unmatched,low,wikimedia,false,,
dark age of camelot,Dark Age of Camelot,,,ambiguous,low,wikimedia,false,,
dark age of camelot shrouded isles,Dark Age of Camelot + Shrouded Isles,,,ambiguous,low,wikimedia,false,,
dark horizon,Dark Horizon,Dark Horizon,dark-horizon,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dark_Horizon
dark project der meisterdieb,Dark Project Der Meisterdieb,Dark Project: Der Meisterdieb,dark-project-der-meisterdieb,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Dark_Project%3A_Der_Meisterdieb
dark quiz,Dark Quiz,,,unmatched,low,wikimedia,false,,
darkstar one,Darkstar One,DarkStar One,darkstar-one,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/DarkStar_One
darkstar onev,Darkstar Onev,,,unmatched,low,wikimedia,false,,
das ausbildungscamp,Das Ausbildungscamp,,,unmatched,low,wikimedia,false,,
das bergwerk,Das Bergwerk,Q56254541,q56254541,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q56254541
das chinesische viertel,Das chinesische Viertel,,,unmatched,low,wikimedia,false,,
das eulemberg experiment,Das Eulemberg Experiment,Q124423636,q124423636,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q124423636
das geheimlabor,Das Geheimlabor,,,unmatched,low,wikimedia,false,,
das geheimnis der vergessenen h hle,Das Geheimnis der vergessenen Höhle,Echo: Secrets of the Lost Cavern,echo-secrets-of-the-lost-cavern,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Echo%3A_Secrets_of_the_Lost_Cavern
das haessliche entlein,Das haessliche Entlein,,,ambiguous,low,wikimedia,false,,
das hafenviertel,Das Hafenviertel,,,unmatched,low,wikimedia,false,,
das schwarze auge drakensang,Das Schwarze Auge - Drakensang,,,ambiguous,low,wikimedia,false,,
das verm chtnis testament of sin,Das Vermächtnis - Testament of Sin,,,unmatched,low,wikimedia,false,,
dead or alive 4,Dead or Alive 4,Dead or Alive 4,dead-or-alive-4,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dead_or_Alive_4
dead reefs,Dead Reefs,Dead Reefs,dead-reefs,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dead_Reefs
deador alive,Deador Alive,,,unmatched,low,wikimedia,false,,
deepolis online,deepolis online,,,ambiguous,low,wikimedia,false,,
defrag,Disk Defrag,,,ambiguous,low,wikimedia,false,,
delta force xtreme,Delta Force Xtreme,Delta Force: Xtreme,delta-force-xtreme,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Delta_Force%3A_Xtreme
der bauernhof,Der Bauernhof,,,ambiguous,low,wikimedia,false,,
der bunker,Der Bunker,,,ambiguous,low,wikimedia,false,,
der fluch der zwerge 1,Der Fluch der Zwerge 1,,,unmatched,low,wikimedia,false,,
der fluch des goldes xs,Der Fluch des Goldes XS,,,unmatched,low,wikimedia,false,,
der herr der ringe,Der Herr der Ringe,,,ambiguous,low,wikimedia,false,,
der herr der ringe die schlacht um mittelerde 2,Der Herr der Ringe Die Schlacht um Mittelerde 2,Der Herr der Ringe: Die Schlacht um Mittelerde 2,der-herr-der-ringe-die-schlacht-um-mittelerde-2,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Der_Herr_der_Ringe%3A_Die_Schlacht_um_Mittelerde_2
der herrder ringe die schlachtum mittelerde,Der Herrder Ringe Die Schlachtum Mittelerde,,,unmatched,low,wikimedia,false,,
der herrder ringe die schlachtum mittelerdev,Der Herrder Ringe Die Schlachtum Mittelerdev,,,unmatched,low,wikimedia,false,,
der herrder ringe online,Der Herrder Ringe Online,,,unmatched,low,wikimedia,false,,
der hobbit v 1,Der Hobbit v 1,The Hobbit (2003 video game),the-hobbit-2003-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Hobbit_%282003_video_game%29
der industriegigant,Der Industriegigant,Industry Giant,industry-giant,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Industry_Giant
der pate,Der Pate,The Godfather (2006 video game),the-godfather-2006-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Godfather_%282006_video_game%29
der trakt,Der Trakt,,,ambiguous,low,wikimedia,false,,
der verkehrsgigant,Der Verkehrsgigant Gold,,,ambiguous,low,wikimedia,false,,
der wohnwagen,Der Wohnwagen,,,ambiguous,low,wikimedia,false,,
desperados coopers revenge,Desperados Coopers Revenge,Desperados 2: Cooper's Revenge,desperados-2-cooper-s-revenge,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Desperados_2%3A_Cooper%27s_Revenge
desperados coopers revengev,Desperados Coopers Revengev,,,unmatched,low,wikimedia,false,,
destroy all humans,Destroy All Humans,,,ambiguous,low,wikimedia,false,,
devil kings,Devil Kings,Devil Kings,devil-kings,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Devil_Kings
devil may cry 3,Devil May Cry 3,Devil May Cry 3: Dante's Awakening,devil-may-cry-3-dante-s-awakening,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Devil_May_Cry_3%3A_Dante%27s_Awakening
devil may cry4,Devil May Cry4,,,ambiguous,low,wikimedia,false,,
diablo spezial,Diablo Spezial,,,unmatched,low,wikimedia,false,,
diablo3 spezial,Diablo3 Spezial,,,unmatched,low,wikimedia,false,,
diamantenfee,Diamantenfee,,,unmatched,low,wikimedia,false,,
diamantenfee 2,Diamantenfee 2,,,unmatched,low,wikimedia,false,,
die chroniken von narnia,Die Chroniken von Narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (video game)",the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia%3A_The_Lion%2C_the_Witch_and_the_Wardrobe_%28video_game%29
die drei musketiere,Die drei Musketiere,,,ambiguous,low,wikimedia,false,,
die fischverladestelle,Die Fischverladestelle,,,unmatched,low,wikimedia,false,,
die gilde,Die Gilde,Europa 1400: The Guild,europa-1400-the-guild,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Europa_1400%3A_The_Guild
die gilde 2,Die Gilde 2,The Guild 2,the-guild-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Guild_2
die hazienda,Die Hazienda,,,ambiguous,low,wikimedia,false,,
die kieselsteiner,Die Kieselsteiner,,,ambiguous,low,wikimedia,false,,
die kunst des mordens geheimakte fbi,Die Kunst des Mordens Geheimakte FBI,,,unmatched,low,wikimedia,false,,
die kunstdes mordens geheimakte fbi,Die Kunstdes Mordens Geheimakte FBI,,,unmatched,low,wikimedia,false,,
die legenden und m rchen von ash kale 1,Die Legenden und Märchen von Ash'kale 1,,,unmatched,low,wikimedia,false,,
die lemuren,Die Lemuren,,,ambiguous,low,wikimedia,false,,
die metrostation,Die Metrostation,,,unmatched,low,wikimedia,false,,
die rache der sith,Die Rache der Sith,,,unmatched,low,wikimedia,false,,
die rmer,Die Rmer,,,unmatched,low,wikimedia,false,,
die schalendes zorns,Die Schalendes Zorns,,,unmatched,low,wikimedia,false,,
die schlacht um mittelerde,Die Schlacht um Mittelerde,The Lord of the Rings: The Battle for Middle-earth,the-lord-of-the-rings-the-battle-for-middle-earth,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings%3A_The_Battle_for_Middle-earth
die schlacht um mittelerde 2,Die Schlacht um Mittelerde 2,,,ambiguous,low,wikimedia,false,,
die siedler,Die Siedler,,,ambiguous,low,wikimedia,false,,
die siedler 4,Die Siedler 4,The Settlers IV: Gold Edition,the-settlers-iv-gold-edition,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Settlers_IV%3A_Gold_Edition
die siedler aufbruch der kulturen,Die Siedler Aufbruch der Kulturen,Die Siedler – Aufbruch der Kulturen,die-siedler-aufbruch-der-kulturen,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Die_Siedler_%E2%80%93_Aufbruch_der_Kulturen
die siedler das erbe der k nige,Die Siedler Das Erbe der Könige,Die Siedler – Das Erbe der Könige,die-siedler-das-erbe-der-konige,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Die_Siedler_%E2%80%93_Das_Erbe_der_K%C3%B6nige
die siedler dienchste generation,Die Siedler Dienchste Generation,,,unmatched,low,wikimedia,false,,
die siedler dienchste generationv,Die Siedler Dienchste Generationv,,,unmatched,low,wikimedia,false,,
die siedler hiebe f r diebe,Die Siedler Hiebe für Diebe,,,ambiguous,low,wikimedia,false,,
die siedler6 aufstiegeines knigreichsv15,Die Siedler6 Aufstiegeines Knigreichsv15,,,unmatched,low,wikimedia,false,,
die sims 2 open for business,Die Sims 2 Open for Business,,,ambiguous,low,wikimedia,false,,
die sims 2 wilde campus j,Die Sims 2 Wilde Campus J,Die Sims 2,die-sims-2,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Die_Sims_2
die sims 2v,Die Sims 2 v,,,unmatched,low,wikimedia,false,,
die sims 2v 1 0 0,Die Sims 2 v 1 0 0,The Sims 2,the-sims-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Sims_2
die sims 2v 1 000,Die Sims 2 v 1 000,The Sims 2,the-sims-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/The_Sims_2
die sims haustiere,Die Sims Haustiere,,,ambiguous,low,wikimedia,false,,
die sims nightlifev,Die Sims Nightlifev,,,unmatched,low,wikimedia,false,,
die sims openfor businessv,Die Sims Openfor Businessv,,,unmatched,low,wikimedia,false,,
die spedition,Die Spedition,,,ambiguous,low,wikimedia,false,,
die unglaublichen,Die Unglaublichen,,,unmatched,low,manual-rejection,false,,
die v lker,Die Völker,,,ambiguous,low,wikimedia,false,,
dikowsk ru land,"Dikowsk, Rußland",,,unmatched,low,wikimedia,false,,
dino island,Dino Island,,,ambiguous,low,wikimedia,false,,
dirty split,Dirty Split,,,unmatched,low,wikimedia,false,,
diverse hintergrnde,Diverse Hintergrnde,,,unmatched,low,wikimedia,false,,
divine divinity,Divine Divinity,,,ambiguous,low,wikimedia,false,,
divx 5,Divx 5,,,ambiguous,low,wikimedia,false,,
divx 5 2,Divx 5 2,,,ambiguous,low,wikimedia,false,,
divx 5 2 1,Divx 5 2 1,,,ambiguous,low,wikimedia,false,,
divx 6,Divx 6 Play,,,ambiguous,low,wikimedia,false,,
divx 6 xp,Divx 6 Play (XP),,,unmatched,low,wikimedia,false,,
divx me,Divx ME,,,unmatched,low,wikimedia,false,,
divx xp,Divx Play XP,,,unmatched,low,wikimedia,false,,
dont angry 2,Dont Angry 2,,,unmatched,low,wikimedia,false,,
doom 3z hunter 1,Doom 3 Z Hunter 1,,,unmatched,low,wikimedia,false,,
double crossfire,Double Crossfire,,,unmatched,low,wikimedia,false,,
dove,Dove,,,ambiguous,low,wikimedia,false,,
doxan,Doxan,,,ambiguous,low,wikimedia,false,,
dracula origin,Dracula Origin,Dracula: Origin,dracula-origin,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dracula%3A_Origin
dracula twins,Dracula Twins,Dracula Twins,dracula-twins,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dracula_Twins
dragonshard,Dragonshard,Dungeons & Dragons: Dragonshard,dungeons-and-dragons-dragonshard,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons%3A_Dragonshard
dragonshard v 1 1,Dragonshard v 1 1,Dungeons & Dragons: Dragonshard,dungeons-and-dragons-dragonshard,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons%3A_Dragonshard
dragonshardv,Dragonshardv,,,unmatched,low,wikimedia,false,,
drakensang,Drakensang,Q108370832,q108370832,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q108370832
dream pinball dtwo worlds,Dream Pinball DTwo Worlds,,,unmatched,low,wikimedia,false,,
dreamfall the longest journey,Dreamfall The Longest Journey,Dreamfall: The Longest Journey,dreamfall-the-longest-journey,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dreamfall%3A_The_Longest_Journey
dreamlords the re awakening,Dreamlords - The Re Awakening,,,unmatched,low,wikimedia,false,,
drive image xml,Drive Image XML,DriveImage XML,driveimage-xml,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/DriveImage_XML
dsl manager,DSL Manager,,,unmatched,low,wikimedia,false,,
dslmanager,DSLManager,,,unmatched,low,wikimedia,false,,
dungeon lords,Dungeon Lords,,,ambiguous,low,wikimedia,false,,
dungeon quest,dungeon quest,,,ambiguous,low,wikimedia,false,,
dungeon siege 2,Dungeon Siege 2,Dungeon Siege II,dungeon-siege-ii,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dungeon_Siege_II
dungeon siege 2v 2,Dungeon Siege 2 v 2,Dungeon Siege II,dungeon-siege-ii,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Dungeon_Siege_II
dungeons dragons online,Dungeons Dragons Online,,,unmatched,low,wikimedia,false,,
dzial 1,dzial 1,,,unmatched,low,wikimedia,false,,
dzial 2,dzial 2,,,unmatched,low,wikimedia,false,,
dzial 3,dzial 3,,,unmatched,low,wikimedia,false,,
dzial 4,dzial 4,,,unmatched,low,wikimedia,false,,
dzial 5,dzial 5,,,unmatched,low,wikimedia,false,,
earth2150 blue planet,Earth 2150 Blue Planet,,,ambiguous,low,wikimedia,false,,
earth2150 lost souls,Earth 2150 Lost Souls,,,ambiguous,low,wikimedia,false,,
earth2150 moon project,Earth 2150 Moon Project,,,ambiguous,low,wikimedia,false,,
earth2160,Earth 2160,Earth 2160,earth-2160,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Earth_2160
easy bcd 1 7,Easy BCD 1 7,,,unmatched,low,wikimedia,false,,
easy bcd171,Easy BCD171,,,unmatched,low,wikimedia,false,,
easytoolz,Easytoolz,,,unmatched,low,wikimedia,false,,
easytoolz 2,Easytoolz 2,,,unmatched,low,wikimedia,false,,
easytoolz22,Easytoolz22,,,unmatched,low,wikimedia,false,,
edna bricht aus,Edna bricht aus,Edna & Harvey: The Breakout,edna-and-harvey-the-breakout,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Edna_%26_Harvey%3A_The_Breakout
ednabrichtaus,Ednabrichtaus,,,unmatched,low,wikimedia,false,,
el coro mexiko,"El Coro, Mexiko",,,unmatched,low,wikimedia,false,,
elveon,Elveon,Elveon,elveon,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Elveon
emergency 2,Emergency 2,Emergency 2: The Ultimate Fight for Life,emergency-2-the-ultimate-fight-for-life,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Emergency_2%3A_The_Ultimate_Fight_for_Life
emergency 3,Emergency 3,Emergency 3: Mission Life,emergency-3-mission-life,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Emergency_3%3A_Mission_Life
emergency global fighters for life,Emergency Global Fighters For Life,Emergency 4: Global Fighters for Life,emergency-4-global-fighters-for-life,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Emergency_4%3A_Global_Fighters_for_Life
emergency global fightersfor life,Emergency Global Fightersfor Life,,,unmatched,low,wikimedia,false,,
empire earth 2,Empire Earth 2,Empire Earth II,empire-earth-ii,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Empire_Earth_II
empire earth 3,Empire Earth 3,Empire Earth III,empire-earth-iii,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Empire_Earth_III
empire earth3,Empire Earth3,,,unmatched,low,wikimedia,false,,
empires die neuzeit,Empires Die Neuzeit,,,unmatched,low,wikimedia,false,,
enchanted arms,Enchanted Arms,Enchanted Arms,enchanted-arms,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Enchanted_Arms
enemy territory quake wars,Enemy Territory Quake Wars,Enemy Territory: Quake Wars,enemy-territory-quake-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Enemy_Territory%3A_Quake_Wars
enemy territory quake wars v 1,Enemy Territory Quake Wars v 1,Enemy Territory: Quake Wars,enemy-territory-quake-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Enemy_Territory%3A_Quake_Wars
enemy territory quake warsv14,Enemy Territory Quake Warsv14,,,unmatched,low,wikimedia,false,,
enigma,Enigma,,,ambiguous,low,wikimedia,false,,
enigma rising tide,Enigma Rising Tide,,,ambiguous,low,wikimedia,false,,
enthusia pro,Enthusia Pro,Enthusia Professional Racing,enthusia-professional-racing,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Enthusia_Professional_Racing
eragon,Eragon,Eragon (video game),eragon-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Eragon_%28video_game%29
eragonfilm,Eragonfilm,,,unmatched,low,wikimedia,false,,
erbe der k nige,Erbe der Könige Demo,,,unmatched,low,wikimedia,false,,
erfahrung display,ERFAHRUNG display,,,unmatched,low,wikimedia,false,,
esculli la llengua del,Esculli la llengua del,,,unmatched,low,wikimedia,false,,
eternal silence 3,Eternal Silence 3,,,ambiguous,low,wikimedia,false,,
europa raser,Europa Raser,Europe Racer,europe-racer,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Europe_Racer
eveonline the second genesis,EVEOnline The Second Genesis,,,unmatched,low,wikimedia,false,,
everest ultimate,Everest Ultimate Edition,,,unmatched,low,wikimedia,false,,
everquest 2,Everquest 2,,,ambiguous,low,wikimedia,false,,
everquest 2b,Everquest 2 B,,,ambiguous,low,wikimedia,false,,
everquest echoes of faydwer,Everquest Echoes Of Faydwer,,,ambiguous,low,wikimedia,false,,
everquest kingdomof sky,Everquest Kingdomof Sky,,,unmatched,low,wikimedia,false,,
evil genius,Evil Genius,,,ambiguous,low,wikimedia,false,,
evochron alliance,Evochron Alliance,Evochron Alliance,evochron-alliance,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Evochron_Alliance
evolution gt,Evolution GT,Corvette Evolution GT,corvette-evolution-gt,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Corvette_Evolution_GT
experience112,Experience112,EXperience112,experience112,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/EXperience112
extreme tux racer,Extreme Tux Racer,Extreme Tux Racer,extreme-tux-racer,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Extreme_Tux_Racer
faces of war,Faces of War,,,ambiguous,low,wikimedia,false,,
facesof war,Facesof War,,,unmatched,low,wikimedia,false,,
faesuper hornet,FAESuper Hornet,,,unmatched,low,wikimedia,false,,
fahrenheit,Fahrenheit,,,ambiguous,low,wikimedia,false,,
fahrenheit v 1,Fahrenheit v 1,,,ambiguous,low,wikimedia,false,,
falcon 4 0 allied force v 1 0,Falcon 4 0 Allied Force v 1 0,Falcon 4.0: Allied Force,falcon-4-0-allied-force,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Falcon_4.0%3A_Allied_Force
fallobst arcade,Fallobst Arcade,,,unmatched,low,wikimedia,false,,
far cry instincts,Far Cry Instincts,Far Cry Instincts,far-cry-instincts,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Far_Cry_Instincts
far cry instincts predator technologie,Far Cry Instincts Predator Technologie,,,ambiguous,low,wikimedia,false,,
far cryv,Far Cryv,,,unmatched,low,wikimedia,false,,
fast lane carnage,Fast Lane Carnage,,,unmatched,low,wikimedia,false,,
fear v 1 02,Fear v 1 02,F.E.A.R.,f-e-a-r,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/F.E.A.R.
fearv,FEARv,,,unmatched,low,wikimedia,false,,
fette sau xs,Fette Sau XS,,,unmatched,low,wikimedia,false,,
field ops,Field Ops,Q110817105,q110817105,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q110817105
fiesta online,Fiesta Online,Fiesta Online,fiesta-online,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Fiesta_Online
fifa football2005,FIFA Football 2005,FIFA Football 2005,fifa-football-2005,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/FIFA_Football_2005
fifafuball weltmeisterschaft,FIFAFuball Weltmeisterschaft,,,unmatched,low,wikimedia,false,,
fight night round 3,Fight Night Round 3,Fight Night Round 3,fight-night-round-3,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Fight_Night_Round_3
filme,Filme,,,ambiguous,low,wikimedia,false,,
fire department,Fire Department,,,ambiguous,low,wikimedia,false,,
fire department 2,Fire Department 2,Fire Department 2,fire-department-2,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Fire_Department_2
flat out,Flat Out,,,ambiguous,low,wikimedia,false,,
flatout,Flatout,FlatOut,flatout,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/FlatOut
flight gear,Flight Gear,FlightGear,flightgear,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/FlightGear
flip mysz inv,flip mysz inv,,,unmatched,low,wikimedia,false,,
football manager2005,Football Manager 2005,Football Manager 2005,football-manager-2005,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Football_Manager_2005
football manager2006,Football Manager 2006 Gold,Football Manager 2006,football-manager-2006,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Football_Manager_2006
ford racing 3,Ford Racing 3,Ford Racing 3,ford-racing-3,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Ford_Racing_3
forsaken,Forsaken,,,ambiguous,low,wikimedia,false,,
fraps,Fraps,,,ambiguous,low,wikimedia,false,,
free civ,Free Civ,,,ambiguous,low,wikimedia,false,,
free commander,Free Commander,,,ambiguous,low,wikimedia,false,,
freedom force,Freedom Force,,,ambiguous,low,wikimedia,false,,
freespace,Freespace,Descent: FreeSpace – The Great War,descent-freespace-the-great-war,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Descent%3A_FreeSpace_%E2%80%93_The_Great_War
french street racing,French Street Racing,,,ambiguous,low,wikimedia,false,,
fritz,Fritz,,,ambiguous,low,wikimedia,false,,
fritz 7 se,Fritz 7 SE,,,unmatched,low,wikimedia,false,,
fritz 9 se,Fritz 9 SE,,,unmatched,low,wikimedia,false,,
frontlines fuelof war,Frontlines Fuelof War,,,unmatched,low,wikimedia,false,,
frontlines fuelof warv102,Frontlines Fuelof Warv102,,,unmatched,low,wikimedia,false,,
frontlines fuelof warv110,Frontlines Fuelof Warv110,,,unmatched,low,wikimedia,false,,
fu ball manager09,Fußball Manager 09,FIFA Manager 09,fifa-manager-09,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/FIFA_Manager_09
fu ball manager2008v 8 0,Fußball Manager 2008 v 8 0,,,ambiguous,low,wikimedia,false,,
fuball manager,Fuball Manager,,,unmatched,low,wikimedia,false,,
fuball manager2008v802,Fuball Manager2008v802,,,unmatched,low,wikimedia,false,,
full auto,Full Auto,,,ambiguous,low,wikimedia,false,,
full auto battlelines,Full Auto Battlelines,,,ambiguous,low,wikimedia,false,,
full spectrum warrior,Full Spectrum Warrior,,,ambiguous,low,wikimedia,false,,
full spectrum warrior ten hammers,Full Spectrum Warrior Ten Hammers,Full Spectrum Warrior: Ten Hammers,full-spectrum-warrior-ten-hammers,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Full_Spectrum_Warrior%3A_Ten_Hammers
funk flitzer,Funk Flitzer,,,unmatched,low,wikimedia,false,,
fussball manager2006v,Fussball Manager 2006 v,,,unmatched,low,wikimedia,false,,
fussball managerv,Fussball Managerv,,,unmatched,low,wikimedia,false,,
galactic civilzations dread lordsv,Galactic Civilzations Dread Lordsv,,,unmatched,low,wikimedia,false,,
gammakorrektur,Gammakorrektur,Gamma correction,gamma-correction,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Gamma_correction
gangsters,Gangsters,Gangsters (board game),gangsters-board-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Gangsters_%28board_game%29
garry die schmei fliege,Garry die Schmeißfliege,,,unmatched,low,wikimedia,false,,
geheimakte tunguska,Geheimakte Tunguska,Secret Files: Tunguska,secret-files-tunguska,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Secret_Files%3A_Tunguska
genius task force biologie,Genius Task Force Biologie,,,unmatched,low,wikimedia,false,,
gentleman,Gentleman,,,ambiguous,low,wikimedia,false,,
ghost recon advanced tactical center,Ghost Recon Advanced Tactical Center,,,unmatched,low,wikimedia,false,,
gigabyte easy tune5 pro,Gigabyte Easy Tune5 Pro,,,unmatched,low,wikimedia,false,,
ging gong boxen,Ging Gong Boxen,,,ambiguous,low,wikimedia,false,,
giropay,Giropay,Giropay,giropay,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Giropay
go around showdown,Go Around Showdown,,,unmatched,low,wikimedia,false,,
gods landsof infinity,Gods Landsof Infinity,,,unmatched,low,wikimedia,false,,
goin downtown,Goin Downtown,Goin' Downtown,goin-downtown,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Goin%27_Downtown
goin downtown v 1,Goin Downtown v 1,Goin' Downtown,goin-downtown,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Goin%27_Downtown
goin downtownv11,Goin Downtownv11,,,unmatched,low,wikimedia,false,,
